,name,experience,employment,created_at,selary,address,type,schedule,work_schedule_by_days,working_hours
126160595,Оператор горячей линии,Нет опыта,Полная занятость,2025-10-06 T09:07:46,6000000-15000000 UZS,"Ташкент, Чиланзарский район, улица Арнасай, 23",Открытая,Сменный график,2/2,12 часов
125254342,Оператор 1C,От 1 года до 3 лет,Полная занятость,2025-10-22 T14:05:45,None-300000 KZT,"Акмолинская область, трасса Астана - Караганда, 45/2",Открытая,Полный день,5/2,8 часов
126906042,Оператор контакт-центра управления социальной защиты населения,Нет опыта,Полная занятость,2025-10-24 T11:20:34,45000-50000 RUR,"Красноярск, улица Карла Маркса, 246",Открытая,Полный день,5/2,8 часов
126730378,Оператор 1С на склад,От 3 до 6 лет,Полная занятость,2025-10-20 T13:42:44,265000-300000 KZT,"Караганда, улица Василия Молокова, 106",Открытая,Полный день,5/2,9 часов
126690090,Рабочий на производство/оператор линии (Новый город),Нет опыта,Полная занятость,2025-10-19 T16:57:55,90000-120000 RUR,"Ульяновск, проспект Антонова, 1",Открытая,Полный день,Другое,12 часов
126872613,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T12:56:25,Не указано,"Москва, Спартаковская площадь, 14с4",Открытая,Полный день,5/2,8 часов
126699231,Помощник бухгалтера (Оператор по вводу данных в 1С),Нет опыта,Полная занятость,2025-10-20 T08:37:28,Не указано,Не указано,Открытая,Полный день,5/2,8 часов
126360414,Оператор по вводу данных (Санкт-Петербург),От 1 года до 3 лет,Полная занятость,2025-10-09 T13:48:20,90000-None RUR,"посёлок Парголово, Горское шоссе, 6",Открытая,Сменный график,2/2,12 часов
126291891,Оператор-печатник,Нет опыта,Полная занятость,2025-10-09 T07:02:17,None-9000000 UZS,Не указано,Открытая,Полный день,6/1,8 часов
126888447,Помощник бухгалтера (оператор ПК),От 1 года до 3 лет,Полная занятость,2025-10-23 T17:57:29,50000-None RUR,"Краснодар, Московская улица, 79/1",Открытая,Полный день,5/2,9 часов
126790520,Оператор ПК 1С,От 1 года до 3 лет,Полная занятость,2025-10-24 T14:07:10,55000-None RUR,"Воронеж, проспект Революции, 29Ж",Открытая,Полный день,5/2,7 часов
126845016,Оператор ПК 1С (на оптовый склад),Нет опыта,Полная занятость,2025-10-23 T08:47:24,75000-75000 RUR,"село Преображенка, Индустриальная улица, 4/2",Открытая,Полный день,5/2,8 часов
126754399,Оператор абонентского отдела,Нет опыта,Полная занятость,2025-10-21 T06:18:23,200000-None KZT,Талдыкорган,Открытая,Полный день,6/1,8 часов
126851296,Оператор ПК (по оформлению заказов клиентов),От 1 года до 3 лет,Полная занятость,2025-10-23 T09:50:17,None-51000 RUR,"Челябинск, улица Елькина, 112",Открытая,Полный день,5/2,8 часов
126546907,Оператор-кассир в компьютерный клуб,От 1 года до 3 лет,Полная занятость,2025-10-15 T09:17:33,None-8000 KZT,"Астана, проспект Туран, 59/2",Открытая,Гибкий график,2/2,12 часов
126872436,Оператор ПК,От 1 года до 3 лет,Полная занятость,2025-10-23 T12:53:56,74500-74500 RUR,"Новосибирск, улица Петухова, 6В",Открытая,Полный день,5/2,8 часов
126780639,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-21 T14:06:17,None-110000 RUR,"деревня Саларьево, вл5",Открытая,Полный день,5/2,8 часов
126565650,Оператор цеха,Нет опыта,Полная занятость,2025-10-24 T13:43:01,90000-None RUR,"деревня Сергеево, 3",Открытая,Полный день,5/2,8 часов
126840865,Менеджер (Оператор 1С),От 1 года до 3 лет,Полная занятость,2025-10-23 T05:50:51,60000-60000 RUR,"Новосибирск, Королева улица, 40 к40",Открытая,Полный день,5/2,8 часов
126924163,Оператор экструдера,От 1 года до 3 лет,Полная занятость,2025-10-24 T17:21:13,90000-90000 RUR,"Саранск, Пролетарская улица, 130",Открытая,Полный день,5/2,12 часов
126733421,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T14:26:03,90000-None RUR,"Москва, Дорожная улица, 1",Открытая,Полный день,5/2,8 часов
126792714,Оператор,От 1 года до 3 лет,Полная занятость,2025-10-21 T17:18:41,300000-300000 KZT,поселок Ленинский,Открытая,Гибкий график,6/1,7 часов
126813453,Оператор учета отгрузок,Более 6 лет,Полная занятость,2025-10-22 T11:09:01,140000-None RUR,"Москва, Замоскворецкая линия, метро Кантемировская",Открытая,Полный день,5/2,8 часов
123511203,Менеджер чат-поддержки / оператор контакт-центра,От 1 года до 3 лет,Полная занятость,2025-10-23 T08:41:54,55000-85000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126773204,Оператор-кассир,От 1 года до 3 лет,Полная занятость,2025-10-24 T12:16:55,300000-350000 KZT,"Алматы, улица Кабдолова, 1/8",Открытая,Полный день,5/2,10 часов
126800034,Оператор к врачу на прием пациентов,Нет опыта,Полная занятость,2025-10-22 T06:08:33,40000-45000 RUR,"Иркутск, микрорайон Юбилейный, 35",Открытая,Полный день,5/2,8 часов
